współrzędne,data sentinel,region,identyfikator działki,uwagi,,
"51.119990740683846, 16.527429414157012",2019-05-11,dolnośląskie,021804_5.0002.332,,,26
"51.1001802712932, 16.56505469343538",2019-05-11,dolnośląskie,021804_5.0003.98,,,27
"51.08881645859225, 16.5628247657557",2019-05-11,dolnośląskie,021801_2.0014.336/39,,,28
"51.079386021246506, 16.554344236326475",2019-05-11,dolnośląskie,021801_2.0014.333,,,29
"51.061199188429434, 16.561243802095504",2019-05-11,dolnośląskie,021801_2.0017.42/1,,,30
"51.01269453335406, 16.610324310248867",2019-05-11,dolnośląskie,021801_2.0005.138,,,31
"50.99917912974164, 16.590484898463153",2019-05-11,dolnośląskie,021908_5.0002.4,,,32
"50.99147817294144, 16.58000372817202",2019-05-11,dolnośląskie,021908_5.0002.326/4,,,33
"50.86580207535322, 17.14999901886885",2019-05-11,dolnośląskie,021502_2.0012.55/2,,,34
"50.858057546026444, 17.162773944031215",2019-05-11,dolnośląskie,021705_5.0007.129,,,35
"50.85429870795014, 17.16883662018152",2019-05-11,dolnośląskie,021705_5.0007.130,,,36
"50.84204051295016, 17.181900244388288",2019-05-11,dolnośląskie,021705_5.0007.142,,,37
"50.84566362331828, 17.202036990665647",2019-05-11,dolnośląskie,021705_5.0022.20/2,,,38
"50.84958264609042, 17.220152844944227",2019-05-11,dolnośląskie,021705_5.0015.155/7,,,39
"50.851564817134054, 17.274175621494248",2019-05-11,dolnośląskie,021504_2.0019.175,,,40
"50.862909416372965, 17.29261626204975",2019-05-11,dolnośląskie,021504_2.0003.203/2,,,41
"52.406691288552715, 17.653535055468716",2019-05-01,wielkopolskie,300308_2.0015.75/27,,,42
"52.400224201772325, 17.653492140182895",2019-05-01,wielkopolskie,300308_2.0015.36/18,,,43
"52.3912943985692, 17.651088881040582",2019-05-01,wielkopolskie,300308_2.0015.62,,,44
"52.42632407270686, 17.661428212661228",2019-05-01,wielkopolskie,300308_2.0013.60/1,,,45
"52.452969596653865, 17.620978004576",2019-05-01,wielkopolskie,300308_2.0007.49,,,46
"52.45789299019583, 17.601610611437856",2019-05-01,wielkopolskie,300308_2.0002.83/8,,,47
"52.458010666028976, 17.61083741016993",2019-05-01,wielkopolskie,300308_2.0002.22,,,48
"52.61712425291057, 17.42586886161741",2019-05-01,wielkopolskie,300305_4.0001.800,,,49
"52.61772846497746, 17.41703976662554",2019-05-01,wielkopolskie,300305_4.0001.458/27,,,50
"52.60551697667429, 17.417127200305163",2019-05-01,wielkopolskie,300305_5.0005.30,,,51
"53.63273, 20.80774",2020-05-27,warmińsko-mazurskie,281704_4.0002.233/3,,,52
"53.64282, 20.98537",2020-05-27,warmińsko-mazurskie,281706_2.0029.167/3,,,53
"53.66056, 20.99310",2020-05-27,warmińsko-mazurskie,281702_2.0010.167/9,,,54
53.67701 20.99406,2020-05-27,warmińsko-mazurskie,281702_2.0010.79/5,,,55
53.73394 21.05942,2020-05-27,warmińsko-mazurskie,281702_2.0013.37/2,,,56
53.73588 21.04882,2020-05-27,warmińsko-mazurskie,281702_2.0013.79,,,57
53.74331 20.57107,2020-05-27,warmińsko-mazurskie,281410_2.0010.6/361,,,58
"53.747193, 20.574203",2020-05-27,warmińsko-mazurskie,281410_2.0010.6/358,,,59
"53.753943, 20.580308",2020-05-27,warmińsko-mazurskie,281410_2.0010.1/28,,,60
"53.754394, 20.588882",2020-05-27,warmińsko-mazurskie,281410_2.0010.1/36,,,61
53.31802 20.09743,2020-05-22,warmińsko-mazurskie,280302_2.0027.74/5,,,62
53.31091 20.10509,2020-05-22,warmińsko-mazurskie,280302_2.0027.42,,,63
"53.307012, 20.102730",2020-05-22,warmińsko-mazurskie,280302_2.0027.230/28,,,64
"53.298267, 20.109725",2020-05-22,warmińsko-mazurskie,280302_2.0019.75,,,65
53.32026 20.16160,2020-05-22,warmińsko-mazurskie,280302_2.0012.18/6,,,66
"53.339162, 20.156064",2020-05-22,warmińsko-mazurskie,280302_2.0012.167/2,,,67
"53.339841, 20.148339",2020-05-22,warmińsko-mazurskie,280302_2.0012.9/10,,,68
"53.346989, 20.149970",2020-05-22,warmińsko-mazurskie,280302_2.0026.27/6,,,69
"53.347873, 20.155935",2020-05-22,warmińsko-mazurskie,280302_2.0012.1/12,,,70
"53.347655, 20.127954",2020-05-22,warmińsko-mazurskie,280302_2.0028.167,,,71
"53.343937, 20.123180",2020-05-22,warmińsko-mazurskie,280302_2.0028.159/2,,,72
"53.36128, 20.18610",2020-05-22,warmińsko-mazurskie,280302_2.0026.17/6,,,73
53.35337 20.21029,2020-05-22,warmińsko-mazurskie,281103_2.0026.32/1,,,74
"53.352231, 20.211657",2020-05-22,warmińsko-mazurskie,281103_2.0026.128/2,,,75
"53.353153, 20.215476",2020-05-22,warmińsko-mazurskie,281103_2.0026.38/1,,,76
53.37181 20.21957,2020-05-22,warmińsko-mazurskie,281103_2.0003.94/1,,,77
"53.372967, 20.221061",2020-05-22,warmińsko-mazurskie,281103_2.0003.95/2,,,78
"53.371149, 20.218045",2020-05-22,warmińsko-mazurskie,281103_2.0003.93/2,,,79
"53.369007, 20.232508",2020-05-22,warmińsko-mazurskie,281103_2.0003.4/1,,,80
"53.368108, 20.224199",2020-05-22,warmińsko-mazurskie,281103_2.0003.109/1,,,81
53.34534 20.24394,2020-05-22,warmińsko-mazurskie,281103_2.0019.4/4,,,82
53.352831 20.236083,2020-05-22,warmińsko-mazurskie,281103_2.0014.27,,,83
53.36121 20.24405,2020-05-22,warmińsko-mazurskie,281103_2.0014.20/6,,,84
53.31199 20.31913,2020-05-22,warmińsko-mazurskie,281103_2.0009.769,,,85
53.30584 20.33644,2020-05-22,warmińsko-mazurskie,281103_2.0013.14/4,,,86
"53.309071, 20.339830",2020-05-22,warmińsko-mazurskie,281103_2.0029.15/8,,,87
"53.310456, 20.343735",2020-05-22,warmińsko-mazurskie,281103_2.0013.14/3,,,88
"53.350618, 20.372911",2020-05-22,warmińsko-mazurskie,281104_5.0019.213,,,89
"53.350861, 20.374606",2020-05-22,warmińsko-mazurskie,281104_5.0019.214,,,90
